2025-10-19 05:31:06 EEST | INFO     | trading_bot | Downloading historical klines for AAVEUSDT 15m from 2025-10-19 01:45:00+00:00 to 2025-10-19 02:05:18.768091+00:00 (1 days)
2025-10-19 05:31:06 EEST | ERROR    | trading_bot | Error checking signal 60 (MAGICUSDT):
2025-10-19 05:31:06 EEST | INFO     | trading_bot | 🔄 Updating symbol list by volume...
2025-10-19 05:31:06 EEST | INFO     | trading_bot | Fetching USDT-M futures pairs by volume...
2025-10-19 05:31:19 EEST | INFO     | trading_bot | ⏰ Next candle close: 15m at 02:45 UTC (+6s = 02:45:06) | Waiting 827s
2025-10-19 05:31:20 EEST | INFO     | trading_bot | 📊 Rate limiter sync: local=122+69, binance=10 (diff: -112)
2025-10-19 05:31:20 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - AAVEUSDT 15m
2025-10-19 05:31:20 EEST | INFO     | trading_bot | Saved 3 klines for AAVEUSDT 15m
2025-10-19 05:31:20 EEST | INFO     | trading_bot | Downloading historical klines for AAVEUSDT 1h from 2025-10-19 01:00:00+00:00 to 2025-10-19 02:05:18.768091+00:00 (1 days)
2025-10-19 05:31:20 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - NEARUSDT 15m
2025-10-19 05:31:20 EEST | INFO     | trading_bot | Saved 3 klines for NEARUSDT 15m
2025-10-19 05:31:20 EEST | INFO     | trading_bot | Downloading historical klines for NEARUSDT 1h from 2025-10-19 01:00:00+00:00 to 2025-10-19 02:05:18.768091+00:00 (1 days)
2025-10-19 05:31:20 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - AVAXUSDT 15m
2025-10-19 05:31:20 EEST | INFO     | trading_bot | Saved 3 klines for AVAXUSDT 15m
2025-10-19 05:31:20 EEST | INFO     | trading_bot | Downloading historical klines for AVAXUSDT 1h from 2025-10-19 01:00:00+00:00 to 2025-10-19 02:05:18.768091+00:00 (1 days)
2025-10-19 05:31:20 EEST | INFO     | trading_bot | ✅ OI History OK for SUSDT: 30 records
2025-10-19 05:31:20 EEST | INFO     | trading_bot | 📊 SUSDT OI: Current=61103671, Delta=-126264, DOI%=-0.21%
2025-10-19 05:31:20 EEST | INFO     | trading_bot | ✅ OI History OK for AI16ZUSDT: 30 records
