2025-10-19 08:16:01 EEST | INFO     | trading_bot | Updating missing candles for 1000RATSUSDT 1h from 2025-10-19 04:01:00+00:00
2025-10-19 08:16:01 EEST | INFO     | trading_bot | Downloading historical klines for 1000RATSUSDT 1h from 2025-10-19 04:01:00+00:00 to 2025-10-19 05:16:01.451915+00:00 (1 days)
2025-10-19 08:16:01 EEST | INFO     | trading_bot | Updating missing candles for 1000RATSUSDT 4h from 2025-10-18 20:01:00+00:00
2025-10-19 08:16:01 EEST | INFO     | trading_bot | Downloading historical klines for 1000RATSUSDT 4h from 2025-10-18 20:01:00+00:00 to 2025-10-19 05:16:01.453915+00:00 (1 days)
2025-10-19 08:16:01 EEST | INFO     | trading_bot | Updating missing candles for WIFUSDT 15m from 2025-10-19 04:46:00+00:00
2025-10-19 08:16:01 EEST | INFO     | trading_bot | Downloading historical klines for WIFUSDT 15m from 2025-10-19 04:46:00+00:00 to 2025-10-19 05:16:01.456913+00:00 (1 days)
2025-10-19 08:16:01 EEST | INFO     | trading_bot | Updating missing candles for WIFUSDT 1h from 2025-10-19 04:01:00+00:00
2025-10-19 08:16:01 EEST | INFO     | trading_bot | Downloading historical klines for WIFUSDT 1h from 2025-10-19 04:01:00+00:00 to 2025-10-19 05:16:01.458915+00:00 (1 days)
2025-10-19 08:16:01 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - ARKMUSDT 4h
2025-10-19 08:16:01 EEST | INFO     | trading_bot | Saved 1 klines for ARKMUSDT 4h
2025-10-19 08:16:01 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - SUIUSDT 1h
2025-10-19 08:16:01 EEST | INFO     | trading_bot | Saved 0 klines for SUIUSDT 1h
2025-10-19 08:16:01 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - WLDUSDT 1h
2025-10-19 08:16:01 EEST | INFO     | trading_bot | Saved 0 klines for WLDUSDT 1h
2025-10-19 08:16:01 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - 1000BONKUSDT 4h
2025-10-19 08:16:01 EEST | INFO     | trading_bot | Saved 1 klines for 1000BONKUSDT 4h
2025-10-19 08:16:01 EEST | INFO     | trading_bot | 🔄 Binance counter reset: 180→170, cleared pending=20
2025-10-19 08:16:01 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - 1000PEPEUSDT 15m
2025-10-19 08:16:01 EEST | INFO     | trading_bot | Saved 1 klines for 1000PEPEUSDT 15m
